case_id,delta_endpoint_active_minus_space_m,delta_depth_active_minus_space_m,delta_phi_active_minus_space_deg,delta_joint_success_active_minus_space
1,0.0020123575769348,-0.0546425823321274,-0.0135105165039704,1
4,0.0169339628711322,-0.00150395205667397,-0.0155898232719096,0
7,-0.00842532940192485,-0.0167692077348085,-0.0536326148303488,0
8,0.0125556380729806,-0.00932991594243762,-0.0044194399527413,0
10,0.0128368350736902,-0.0736134892048357,-0.0249270226494218,1
11,0.0206627056434662,-0.0289589409244826,0.0314361415841802,0
12,0.0254411578815874,-0.13327738918283,0.0015574998655552,1
13,0.0145570026887911,-0.0141920543820474,-0.01028266863932,0
14,0.00615487613306327,-0.0218134971381913,0.0115077272907059,0
15,0.00488020454743889,-0.0124741076618546,0.0125915141285304,0
16,0.0156504746276339,0.004238432301086,-0.0031823672836047,0
17,0.00855236342055416,-0.0378576205816508,0.00317079704719,0
18,-0.002582219066494,-0.00575784453044114,0.0262196744264287,0
19,0.0126552367279377,-0.0622892364549635,0.00413630027344425,1
21,0.00487371314656423,-0.0072413323363304,-0.00771675190057403,0
22,-0.0122888900823063,-0.0004019962092473,0.00179501103784219,0
23,-0.00633295706638903,-0.00042372567275839,-0.00858538803902319,0
24,0.000440764316802299,0.00118007584813418,-0.0145386135849463,0
26,0.0204620238334178,-0.0338854311323675,0.002133540665568,0
27,-0.0048575686818218,-0.0543954016679314,-0.0248115006617056,1
28,0.0271841888092795,-0.038120544652978,-0.000441459829431779,0
29,0.00813041214523286,-0.0389278111896759,-0.03317888738016,0
30,-0.0013009866705951,-0.010920693627968,-0.0194811689542575,0
31,-0.0096090949343789,0,0.0061888987275864,0
33,0.0112024873744267,-0.0407145650376292,-0.0198767073179695,0
34,0.00680643713229358,-0.0211647801246608,0.00078355507886841,0
35,0.0151662024681484,-0.00549222076846292,-0.0093688443888595,0
36,0.0128190595708908,-0.0533142842676247,0.00236099876343587,1
37,0.0150046293476823,0.00013335313612695,-0.0130035347819444,0
39,0.0111656347190517,-0.0875618253724437,0.00107800757916716,1
40,0.00916265143468403,-0.0171468735989686,-0.0180903663306253,0
41,-0.0022266725618884,-0.0544208683218067,-0.00558950711649686,1
42,0.0019982789846916,-0.0193400130083405,-0.0361593219533063,0
43,0.0294197029557382,-0.0176757721594281,0.0328968583514211,0
44,-0.00847587447478636,-0.0253138976820923,0.00872515834339534,0
45,-2.3372139786499e-05,-0.0138188147733292,-0.020095028270589,0
46,0.0166591653230437,-0.0130030475907024,-0.00556938364945835,0
47,0.0186370692583379,-0.031650992091429,-0.00206010353753072,0
48,-0.000315562796169601,-0.0936575605887091,0.00832174898235396,1
49,0.0153518793114383,-0.0686222818141844,-0.0030472458053339,1
50,-0.0011677627283307,-0.0281078264937803,-0.0251149407288551,0
51,0.011459676851564,-0.0259267845966601,0.0104446431149654,0
52,0.0109679919946588,-0.0115853579711594,0.0149014000324428,0
53,0.0032057819994024,-0.0600869072837442,-0.0278509815487382,1
54,0.0170273810679623,-0.0133148603110196,0.00636349836514682,0
55,0.00566278191919529,0.00257567094372191,0.0034840205899229,0
56,0.0233269047388137,-0.0808020935021744,-0.00143752218608028,1
57,0.0111212107348777,-0.0116913445463896,0.00431347957874095,0
58,0.0041511082649377,-0.0113872325276105,-0.0727516334393385,0
60,0.0091288144846904,-0.0602250541671838,-0.0057353777261327,1
61,0.0188476302497537,-0.0375043297228468,0.0140278397272766,0
62,0.0022085896919595,-0.012975110062757,0.0038197870751446,0
63,0.0014721057957906,-0.0349920526178121,-0.0194213590299909,0
64,0.0160301205333084,0.00218219568959754,-0.0083511156740812,0
65,0.0249265729117568,-0.0209745278153754,0.006351593548402,0
67,0.0102791860554272,-0.00665735896162412,-0.0084034030682005,0
68,0.00723098126776283,-0.00685651791504094,-0.0166319659928149,0
70,0.0026996211853367,-0.0845339107411615,-0.00955111622852198,1
71,-0.0011809725157397,0.00170176555986057,-0.0411181564368235,0
72,-0.00585837548858237,-0.00743019171218618,-0.0721418328470804,0
73,0.0129484558488789,-0.0182440967109487,-0.00207038462126263,0
74,0.0195911093572414,-0.0900933597014315,-0.00282886578867192,1
75,-0.0021299091667416,-0.0293416217977465,-0.0173952490806642,0
76,0.0048131491817897,-0.00885937213664882,-0.0435516841305628,0
77,0.0135845619902505,-0.0235619997412082,8.35936820635999e-05,0
78,0.0075335000530804,-0.0100935600929093,-0.0011865331143781,0
79,0.0020839518239763,-0.0168428436090935,-0.0143989158614489,0
80,0.0155454156604319,-0.0163219523889076,-0.0273669140562874,0
81,0.012794393881814,-0.0520639375344149,-0.0200090565401183,1
82,0.0230153167714623,-0.0397773564619272,0.0210410131332992,0
83,0.0142455383167049,0.00061173795593894,-0.0199191123633967,0
84,-0.00650447820844459,-0.0122065721436066,-0.0014901759521706,0
85,0.0130937914291549,-0.033609247208668,-0.0132673921218611,0
86,0.018328239578052,-0.0184730801064696,0.012751164875084,0
87,0.0104685344642794,-0.043289116388113,-0.00682892278998533,0
88,-0.0138544017028033,-0.0209370126020338,-0.0257240772729971,0
89,-0.0039418959720126,-0.0524739930974316,-0.0229011146033144,1
90,0.0123661850589778,0.00539094755387403,-0.0156199217168477,0
91,0.0183887848850584,-0.00056463574325871,-0.00813773099716284,0
95,0.0117861077466421,-0.0442950327506199,-0.0127500623185597,0
96,0.0080036953812646,-0.0327040165685321,-0.00792682170398962,0
97,0.0220495895532326,-0.0114082546766905,-0.0007595970791243,0
99,0.0067391207237217,-0.00378454835078523,-0.0134564701336188,0
100,0.0177949451527739,-0.0150698061457594,0.00536918878825076,0
