noise_pct_RMS,active_minus_space_success,CI95_low,CI95_high,active_only_rows,space_only_rows,ties_rows
0,0.202380952380952,0.119047619047619,0.297619047619048,17,0,67
0.1,0.309126984126984,0.247609126984127,0.367867063492063,779,0,1741
0.25,0.568650793650794,0.526984126984127,0.611507936507937,1433,0,1087
0.5,0.803174603174603,0.778164682539683,0.826190476190476,2024,0,496
1,0.868253968253968,0.843650793650794,0.892063492063492,2193,5,322
2,0.716666666666667,0.67140873015873,0.757946428571429,1808,2,710
